# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-05-22 at 07:21:43
#
# Requested input R.A. = 244.11582745 degrees
# Requested input Dec. = 56.432304066667 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 795 11 2 ZTF_r 444392284115 0 1.885 189.485 6.28665 26.3556 4.733e-06 0.0202801 0.100164 7.95702e-06 527 30. 0.041811 0.046392 20.5864 26.3556 2 2458198.8922801 795120241 47.32571738963 29.338539 1.794376 0.923753 -10.57678673282 54.527542 -0.195278 1.046215 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 1 795 11 2 ZTF_r 444400004115 0 1.9216 194.208 6.12419 26.3783 5.2223e-06 0.0213744 0.105657 8.75622e-06 528 30. 0.04406 0.046246 20.6946 26.3783 2 2458198.9 795120241 -21.69956619838 26.215170 -0.920774 0.933819 28.50107859585 48.750500 0.588569 1.048600 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 2 795 11 2 ZTF_r 444428934115 0 2.0275 194.602 5.96836 26.369 6.1421e-06 0.0230448 0.106979 1.0336e-05 527 30. 0.042975 0.047055 20.6168 26.369 2 2458198.9289352 795120241 -23.3422774526 27.513597 -0.943736 0.946344 -15.39678576204 50.678562 -0.305859 1.049221 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 3 795 11 2 ZTF_r 444449834115 0 1.6591 197.4 6.1339 26.3694 7.1267e-06 0.0250515 0.104689 1.20001e-05 533 30. 0.043704 0.043597 20.7352 26.3694 2 2458198.949838 795120241 4.36000090412 24.723972 0.196166 0.886633 -18.29724003563 47.243103 -0.389908 1.046996 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 4 795 11 2 ZTF_r 444450844115 0 1.6496 197.072 6.13519 26.3788 5.8703e-06 0.0226399 0.104099 9.89816e-06 531 30. 0.043582 0.046269 20.748 26.3788 1 2458198.9508449 795120241 -57.08229093989 24.306896 -2.612322 0.937923 -44.7937813057 46.641987 -0.966843 1.045993 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 5 795 11 2 ZTF_r 444475154115 0 1.7479 186.693 6.27711 26.3061 1.05313e-05 0.0304123 0.10974 1.78127e-05 530 30. 0.046072 0.043108 20.6129 26.3061 2 2458198.9751505 795120241 76.06733182112 29.286617 2.889241 0.942263 90.38394989721 54.395512 1.672798 1.050023 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 6 795 11 2 ZTF_r 444482924115 0 1.7748 194.73 6.04684 26.3505 6.1756e-06 0.0233163 0.110619 1.04289e-05 530 30. 0.045603 0.045925 20.6954 26.3505 2 2458198.9829282 795120241 1.99931916867 25.609812 0.086842 0.950783 18.48868861841 47.226841 0.394124 1.054332 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 7 795 11 2 ZTF_r 444483844115 0 1.6459 193.548 6.11319 26.3323 6.8488e-06 0.0244325 0.109758 1.15294e-05 528 30. 0.046535 0.048039 20.7139 26.3323 1 2458198.9838426 795120241 -7.56058491675 23.627193 -0.355957 1.013066 4.12629516466 44.165096 0.094058 1.053411 0.174908178693746 19.3479999542236 0.0439999997615814 2.02699995040894 0.143999993801117 2458198.900000 2458219.999954 0
 8 795 11 2 ZTF_g 449393584115 0 2.2233 198.055 7.33516 26.2991 1.19264e-05 0.0320176 -0.0633439 2.08205e-05 513 30. 0.044784 0.048904 20.376 26.2991 2 2458203.893588 795120141 42.98183861349 34.262367 1.395476 0.867621 8.67521095509 59.007069 0.148010 1.065753 0.153311045459674 20.178000164032 0.0390000008046627 1.09200000762939 0.0149999996647239 2458203.893588 2458227.870880 0
 9 795 11 2 ZTF_g 449404164115 0 2.0853 202.639 6.80008 26.3187 1.07506e-05 0.0306492 -0.0552212 1.85132e-05 520 30. 0.04492 0.047152 20.5366 26.3187 2 2458203.9041667 795120141 20.17218919928 27.851395 0.805677 0.931534 21.43171317867 49.102032 0.439413 1.064919 0.153311045459674 20.178000164032 0.0390000008046627 1.09200000762939 0.0149999996647239 2458203.893588 2458227.870880 0
