# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.8 on 2024-03-04 at 17:16:24
#
# Requested input R.A. = 232.071167 degrees
# Requested input Dec. = 39.947369 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460157.5 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 721 8 1 ZTF_r 444361792815 0 1.9502 185.936 5.75417 26.3007 5.2283e-06 0.0215892 0.0954998 9.13922e-06 528 30. 0.044037 0.046896 20.5985 26.3007 2 2458198.861794 721120228 -24.77483738889 24.410046 -1.129008 0.958244 -19.93623332155 45.776997 -0.438441 1.043571 1.08887111406282 18.458000087738 0.0480000004172325 3.35899996757507 0.246999993920326 2458160.988137 2458217.966829 0
 1 721 8 1 ZTF_r 444413372815 0 1.6399 186.913 5.3971 26.3107 5.8752e-06 0.022893 0.104581 1.02592e-05 527 30. 0.049306 0.049819 20.7871 26.3107 2 2458198.9133796 721120228 -35.85883273806 20.419716 -1.953445 1.027180 -29.15613078169 39.333889 -0.746239 1.041881 1.08887111406282 18.458000087738 0.0480000004172325 3.35899996757507 0.246999993920326 2458160.988137 2458217.966829 0
 2 721 8 1 ZTF_r 444433192815 0 1.675 187.857 5.4065 26.295 6.8077e-06 0.024518 0.101826 1.19457e-05 525 30. 0.050824 0.055962 20.7743 26.295 2 2458198.9331944 721120228 -14.76930578374 22.449976 -0.731811 1.109688 28.36162581833 42.635632 0.669690 1.046318 1.08887111406282 18.458000087738 0.0480000004172325 3.35899996757507 0.246999993920326 2458160.988137 2458217.966829 0
 3 721 8 1 ZTF_r 444451782815 0 1.5569 187.872 5.47741 26.3034 8.1691e-06 0.0269768 0.107012 1.42686e-05 527 30. 0.049581 0.052785 20.7921 26.3034 2 2458198.9517824 721120228 -34.36999188595 22.896130 -1.669830 0.992099 -83.34275773156 44.966179 -1.865937 1.037405 1.08887111406282 18.458000087738 0.0480000004172325 3.35899996757507 0.246999993920326 2458160.988137 2458217.966829 0
 4 721 8 1 ZTF_r 444476082815 0 1.3542 177.176 5.728 26.2372 8.3754e-06 0.0272362 0.108088 1.47198e-05 525 30. 0.070337 0.059908 20.7056 26.2372 2 2458198.976088 721120228 -38.93951572797 23.421091 -1.849432 0.930029 -24.59641671825 44.491829 -0.556553 1.046018 1.08887111406282 18.458000087738 0.0480000004172325 3.35899996757507 0.246999993920326 2458160.988137 2458217.966829 0
 5 721 8 1 ZTF_r 444481512815 0 1.514 185.389 5.45398 26.2838 7.1348e-06 0.0250901 0.111567 1.25388e-05 525 30. 0.056402 0.052946 20.7693 26.2838 2 2458198.9815162 721120228 16.31544069086 21.785028 0.833097 1.029394 60.30443317297 40.852375 1.486097 1.048435 1.08887111406282 18.458000087738 0.0480000004172325 3.35899996757507 0.246999993920326 2458160.988137 2458217.966829 0
 6 721 8 1 ZTF_g 448378702815 0 2.178 173.189 5.10807 26.2848 6.7986e-06 0.0248174 -0.0489873 1.19723e-05 530 30. 0.048454 0.04599 20.7317 26.2848 2 2458202.8787037 721120128 -5.25558808001 23.384363 -0.250006 1.006467 58.0815275701 39.995323 1.461989 1.076636 1.05791823916021 18.3960000991821 0.0370000004768372 2.77999997138977 0.158000007271767 2458166.988831 2458206.004502 0
 7 721 8 1 ZTF_g 449382742815 0 2.1653 170.528 6.89658 26.2715 8.5281e-06 0.0275428 -0.0501232 1.53274e-05 522 30. 0.042707 0.046282 20.4187 26.2715 2 2458203.8827431 721120128 20.24825105098 29.633770 0.760073 0.979808 1.08929553192 50.765797 0.021602 1.075824 1.05791823916021 18.3960000991821 0.0370000004768372 2.77999997138977 0.158000007271767 2458166.988831 2458206.004502 0
 8 721 8 1 ZTF_g 449413222815 0 2.162 174.683 5.75198 26.2958 8.708e-06 0.0279962 -0.0488528 1.55078e-05 527 30. 0.049195 0.049131 20.6471 26.2958 2 2458203.9132292 721120128 14.62777554282 26.948341 0.603811 0.924850 71.24076236663 45.349560 1.581505 1.095657 1.05791823916021 18.3960000991821 0.0370000004768372 2.77999997138977 0.158000007271767 2458166.988831 2458206.004502 0
